epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,18339.7,0.84747,0.44277,1.121,0.89224,0.87808,0.89617,0.65528,1.00808,0.57319,1.16403,0.000459788,0.000459788,0.000459788
94,18537,0.83015,0.43557,1.10804,0.89849,0.89279,0.88884,0.64437,1.00355,0.5631,1.1593,0.000458934,0.000458934,0.000458934
95,18733.5,0.82514,0.43717,1.0997,0.89944,0.89051,0.9033,0.65522,1.02406,0.57129,1.16265,0.000458072,0.000458072,0.000458072
96,18930,0.82394,0.4372,1.09658,0.90566,0.88735,0.89588,0.64381,1.0241,0.57646,1.15392,0.000457202,0.000457202,0.000457202
97,19126.6,0.83595,0.43998,1.11167,0.87872,0.90694,0.89495,0.63892,1.09535,0.57703,1.19041,0.000456324,0.000456324,0.000456324
98,19323,0.83263,0.43387,1.11061,0.87145,0.90077,0.89091,0.63854,1.08215,0.57799,1.1854,0.000455438,0.000455438,0.000455438
99,19519.6,0.82891,0.42918,1.09971,0.90662,0.87565,0.89076,0.64158,1.02498,0.56671,1.169,0.000454544,0.000454544,0.000454544
100,19716.3,0.82624,0.43156,1.09689,0.90188,0.88902,0.88714,0.62934,1.11537,0.57836,1.20921,0.000453642,0.000453642,0.000453642
101,19912.9,0.82177,0.42752,1.10107,0.88641,0.88855,0.88933,0.64357,1.07663,0.59745,1.18774,0.000452732,0.000452732,0.000452732
102,20109.3,0.81297,0.42474,1.09339,0.89908,0.87897,0.87875,0.64091,1.01817,0.56593,1.20077,0.000451814,0.000451814,0.000451814
103,20305.9,0.79757,0.41701,1.08066,0.87968,0.89836,0.89771,0.65442,1.00885,0.53898,1.16508,0.000450888,0.000450888,0.000450888
104,20502.6,0.81125,0.42803,1.09405,0.89856,0.88611,0.8917,0.6257,1.14645,0.58804,1.22422,0.000449954,0.000449954,0.000449954
105,20699.3,0.81844,0.4313,1.09479,0.89828,0.88893,0.88187,0.62148,1.095,0.57304,1.19853,0.000449013,0.000449013,0.000449013
106,20895.9,0.80184,0.4233,1.08384,0.90648,0.89216,0.88427,0.63714,1.03778,0.56557,1.18128,0.000448063,0.000448063,0.000448063
107,21092.6,0.81254,0.4215,1.0958,0.89823,0.88303,0.88395,0.64763,1.04387,0.61231,1.19753,0.000447106,0.000447106,0.000447106
108,21289.3,0.82152,0.42972,1.10972,0.89439,0.92399,0.88759,0.64426,1.02006,0.54395,1.18102,0.000446142,0.000446142,0.000446142
109,21486,0.7922,0.40815,1.08461,0.90194,0.89328,0.88023,0.6319,1.03229,0.62158,1.19093,0.000445169,0.000445169,0.000445169
110,21682.8,0.80717,0.41969,1.08767,0.90038,0.89445,0.88553,0.64776,1.00353,0.58605,1.16545,0.00044419,0.00044419,0.00044419
111,21879.3,0.78729,0.40485,1.06862,0.90785,0.89463,0.89394,0.65826,1.01351,0.56586,1.16677,0.000443202,0.000443202,0.000443202
112,22077,0.80359,0.42288,1.08953,0.90563,0.88372,0.8911,0.66314,0.98314,0.57233,1.15317,0.000442207,0.000442207,0.000442207
113,22274.7,0.79579,0.41907,1.07442,0.91015,0.90805,0.88131,0.64668,1.0167,0.57886,1.16547,0.000441205,0.000441205,0.000441205
114,22471.5,0.7892,0.41729,1.07207,0.90905,0.89238,0.88434,0.64347,0.98399,0.57392,1.1551,0.000440195,0.000440195,0.000440195
115,22668.3,0.79756,0.41079,1.07369,0.91039,0.90488,0.88269,0.65405,1.03724,0.57414,1.15532,0.000439177,0.000439177,0.000439177
116,22865.1,0.81124,0.43076,1.08696,0.89983,0.89184,0.89094,0.64992,1.01115,0.55174,1.14588,0.000438152,0.000438152,0.000438152
117,23061.9,0.79824,0.40932,1.07828,0.89209,0.88336,0.87807,0.64946,0.98016,0.55426,1.16101,0.00043712,0.00043712,0.00043712
118,23258.6,0.78977,0.40739,1.07486,0.90393,0.88695,0.88305,0.64779,0.96747,0.55572,1.1312,0.000436081,0.000436081,0.000436081
119,23455.2,0.78463,0.40646,1.07373,0.91069,0.88187,0.88285,0.65139,0.96879,0.56596,1.15823,0.000435034,0.000435034,0.000435034
120,23651.8,0.77918,0.40753,1.07707,0.9043,0.87956,0.88963,0.64206,1.03915,0.55245,1.16513,0.000433981,0.000433981,0.000433981
121,23848.5,0.77082,0.40528,1.07109,0.88589,0.89985,0.89074,0.65601,0.99886,0.5529,1.17641,0.00043292,0.00043292,0.00043292
122,24044.8,0.76304,0.40243,1.07674,0.90274,0.90194,0.9,0.64949,1.03262,0.56563,1.18644,0.000431852,0.000431852,0.000431852
123,24241.2,0.77867,0.41054,1.07421,0.91236,0.87573,0.89022,0.65472,1.03432,0.58393,1.1761,0.000430776,0.000430776,0.000430776
124,24437.6,0.79283,0.41178,1.08257,0.90513,0.87215,0.88152,0.63592,1.08187,0.5913,1.20359,0.000429694,0.000429694,0.000429694
125,24634.3,0.76843,0.40093,1.06792,0.87724,0.8912,0.89259,0.65753,0.98214,0.54756,1.15885,0.000428605,0.000428605,0.000428605
126,24830.9,0.76763,0.40291,1.06376,0.89886,0.89071,0.8974,0.66649,1.01054,0.55956,1.17318,0.000427509,0.000427509,0.000427509
127,25028.2,0.74754,0.39605,1.05507,0.87819,0.90165,0.87705,0.64651,1.0076,0.5451,1.17612,0.000426406,0.000426406,0.000426406
128,25224.6,0.7656,0.39835,1.06693,0.88772,0.88167,0.88481,0.65138,0.99941,0.53996,1.18302,0.000425296,0.000425296,0.000425296
129,25421,0.76372,0.39431,1.061,0.88869,0.89245,0.87812,0.63507,1.08482,0.58314,1.22301,0.000424179,0.000424179,0.000424179
130,25617.4,0.75707,0.39407,1.06501,0.86352,0.898,0.8762,0.64434,1.01476,0.55947,1.17288,0.000423056,0.000423056,0.000423056
131,25813.9,0.77832,0.40688,1.073,0.85682,0.91235,0.88739,0.64693,1.02704,0.54313,1.19005,0.000421925,0.000421925,0.000421925
132,26010.3,0.77193,0.40031,1.06383,0.89987,0.89227,0.88636,0.63918,1.03089,0.55731,1.17407,0.000420788,0.000420788,0.000420788
133,26206.8,0.75491,0.39116,1.06423,0.91134,0.86906,0.89154,0.64868,1.01202,0.55526,1.16915,0.000419645,0.000419645,0.000419645
134,26403.3,0.75698,0.3905,1.06435,0.91374,0.88355,0.89573,0.65623,1.01698,0.52114,1.16935,0.000418495,0.000418495,0.000418495
135,26599.8,0.78455,0.4088,1.07923,0.90437,0.89279,0.89911,0.65391,1.01832,0.56565,1.16059,0.000417338,0.000417338,0.000417338
136,26796.6,0.74269,0.38416,1.05178,0.9018,0.89787,0.89558,0.64822,1.01028,0.56147,1.18428,0.000416175,0.000416175,0.000416175
